"name","wikidata","commons","website","image","link_commons","link_de","link_en","link_fr","link_count","long","lat","timestamp"
"Museum of the Swiss Charters of Confederation (building)","Q1005863","Bundesbriefmuseum","http://www.bundesbriefmuseum.ch/","http://commons.wikimedia.org/wiki/Special:FilePath/Schwyz%20Bundesbriefmuseum%201.jpg","https://commons.wikimedia.org/wiki/Category:Bundesbriefmuseum","https://de.wikipedia.org/wiki/Bundesbriefmuseum","https://en.wikipedia.org/wiki/Museum_of_the_Swiss_Charters_of_Confederation","https://fr.wikipedia.org/wiki/Mus%C3%A9e_des_chartes_f%C3%A9d%C3%A9rales",12,"8.648333333","47.021944444",2020-01-11 11:52:05
"Museum of Fine Arts Chur","Q1020806","Bündner Kunstmuseum","http://www.buendner-kunstmuseum.ch","http://commons.wikimedia.org/wiki/Special:FilePath/Kunstmuseum%20Chur.jpg","https://commons.wikimedia.org/wiki/Category:B%C3%BCndner_Kunstmuseum","https://de.wikipedia.org/wiki/B%C3%BCndner_Kunstmuseum",,,7,"9.5324","46.8513",2020-01-12 11:52:05
"Bündner Naturmuseum","Q1020808","Bündner Naturmuseum","http://www.naturmuseum.gr.ch","http://commons.wikimedia.org/wiki/Special:FilePath/Naturmuseum%20Chur.jpg","https://commons.wikimedia.org/wiki/Category:B%C3%BCndner_Naturmuseum","https://de.wikipedia.org/wiki/B%C3%BCndner_Naturmuseum","https://species.wikimedia.org/wiki/BNMC",,8,"9.53433","46.8542",2020-01-13 11:52:05
"C. G. Jung House Museum","Q10861597","Wohnhaus von C. G. Jung","https://www.cgjunghaus.ch/","http://commons.wikimedia.org/wiki/Special:FilePath/Hofffassade.jpg","es","https://commons.wikimedia.org/wiki/Category:Wohnhaus_von_C._G._Jung","https://de.wikipedia.org/wiki/Museum_Haus_C._G._Jung","https://en.wikipedia.org/wiki/C._G._Jung_House_Museum",11,"8.583119444","47.310591666",2020-01-12 11:52:05
"Cocteau Kabinett","Q1105477",,,,"gsw","https://de.wikipedia.org/wiki/Cocteau-Kabinett",,,12,"7.591627777","47.566386111",2020-01-12 11:52:05
"Museum of the Order of Malta","Q11068173","Museum of the Order of Malta","http://www.smommuseum.ch","http://commons.wikimedia.org/wiki/Special:FilePath/Mus%C3%A9e%20de%20l%27Ordre%20de%20Malte.jpg","https://commons.wikimedia.org/wiki/Category:Museum_of_the_Order_of_Malta","https://fr.wikipedia.org/wiki/Mus%C3%A9e_de_l%27ordre_de_Malte",,,6,"6.12061","46.15193",2020-01-12 11:52:05
"HeK (House of Electronic Arts Basel)","Q1112536",,"http://www.hek.ch","http://commons.wikimedia.org/wiki/Special:FilePath/HeK%20Dreispitz%20%28Basel%29.jpg","gsw","https://de.wikipedia.org/wiki/HeK_(Haus_der_elektronischen_K%C3%BCnste_Basel)",,,7,"7.60161111","47.55472222",2020-01-12 11:52:05
"Creaviva","Q1139387",,"http://www.creaviva-zpk.org/fr",,"https://de.wikipedia.org/wiki/Creaviva","https://fr.wikipedia.org/wiki/Creaviva",,,8,"7.47389","46.9492",2020-01-12 11:52:05
"Festungsmuseum Crestawald","Q1139743","Festung Crestawald","http://www.festung-gr.ch","http://commons.wikimedia.org/wiki/Special:FilePath/Festungsmuseum%20Crestawald.jpg","https://commons.wikimedia.org/wiki/Category:Festung_Crestawald","https://de.wikipedia.org/wiki/Festung_Crestawald",,,8,"9.389166666","46.569166666",2020-01-12 11:52:05
"Cuort Ligia Grischa","Q1144142","Cuort Ligia Grischa","http://www.trun.ch","http://commons.wikimedia.org/wiki/Special:FilePath/Trun%20Cuort.jpg","https://commons.wikimedia.org/wiki/Category:Cuort_Ligia_Grischa","https://de.wikipedia.org/wiki/Cuort_Ligia_Grischa",,,2,"8.983716666","46.742477777",2020-01-12 11:52:05
